dia,materia,assunto,num,fonte,enunciado,A,B,C,D,E,gabarito,imagens
1,MATEMÁTICA,GEOMETRIA ESPACIAL,1,ENEM 2023 -- MAT,"**

A água utilizada pelos 75 moradores de um vilarejo provém de um
reservatório de formato cilíndrico circular reto cujo raio da base mede
5 metros, sempre abastecido no primeiro dia de cada mês por
caminhões-pipa. Cada morador desse vilarejo consome, em média, 200
litros de água por dia.

    No mês de junho de um determinado ano, o vilarejo festejou o dia de
seu padroeiro e houve um gasto extra de água nos primeiros 20 dias.
Passado esse período, as pessoas verificaram a quantidade de água
presente no reservatório e constataram que o nível da coluna de água
estava em 1,5 metro. Decidiram, então, fazer um racionamento de água
durante os 10 dias seguintes. Considere 3 como aproximação para π.

Qual é a quantidade mínima de água, em litro, que cada morador, em
média, deverá economizar por dia, de modo que o reservatório não fique
sem água nos próximos 10 dias?",50,60,80,140,150,B,
1,MATEMÁTICA,GEOMETRIA ESPACIAL,2,ENEM 2023 -- MAT,"**

Um artista plástico esculpe uma escultura a partir de um bloco de
madeira de lei, em etapas. Inicialmente, esculpe um cone reto com 36 cm
de altura e diâmetro da base medindo 18 cm. Em seguida, remove desse
cone um cone menor, cujo diâmetro da base mede 6 cm, obtendo, assim, um
tronco de cone, conforme ilustrado na figura.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia01_image6.webp)

   Em seguida, perfura esse tronco de cone, removendo um cilindro reto,
de diâmetro 6 cm, cujo eixo de simetria é o mesmo do cone original.
Dessa forma, ao final, a escultura tem a forma de um tronco de cone com
uma perfuração cilíndrica de base a base.

    O tipo de madeira utilizada para produzir essa escultura tem massa
igual a 0,6 g por centímetro cúbico de volume. Utilize 3 como
aproximação para π.

 

Qual é a massa, em grama, dessa escultura?","1 198,8","1 296,0","1 360,8","4 665,6","4 860,0",C,dia01_image6.webp
1,MATEMÁTICA,GEOMETRIA ESPACIAL,3,ENEM 2022 PPL -- MAT,"**

Um proprietário precisa comprar tubos para ligações hidráulicas durante
a reforma de sua casa, optando pela compra do material de menor custo. O
engenheiro responsável pela obra afirmou ao proprietário que os tubos
precisam suportar uma vazão de 1,2 litro por segundo. Para manter o
padrão das tubulações já existentes na casa, os tubos devem ter 15, 20
ou 25 mm de diâmetro. Uma loja de materiais de construção apresentou ao
proprietário o quadro no qual se encontram cinco tipos de tubo, com
indicação de diâmetro, vazão e custo para cada um deles.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia01_image8.webp)

O proprietário deverá comprar",PVC soldável com 20 mm de diâmetro.,PEX com 20 mm de diâmetro.,Polipropileno com 15 mm de diâmetro.,PVC roscável com 25 mm de diâmetro.,Polietileno reticulado com 20 mm de diâmetro.,B,dia01_image8.webp
1,MATEMÁTICA,GEOMETRIA ESPACIAL,4,UNICAMP 2023 -- MAT,"**

Um recipiente cilíndrico de altura h tem água em seu interior. Ao
mergulhar uma esfera de chumbo de raio R neste recipiente, a água cobre
a esfera e nenhuma quantidade de água se perde, como ilustrado na figura
a seguir.

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia01_image7.webp)

Sabendo que o raio da base do cilindro é o dobro do raio da esfera, a
diferença entre a altura da água antes e depois do mergulho da esfera é
igual a",2R,R.,R/3.,2R/3.,,C,dia01_image7.webp
1,MATEMÁTICA,GEOMETRIA ESPACIAL,5,ENEM 2022 -- MAT,"**

Uma cozinheira produz docinhos especiais por encomenda. Usando uma
receita-base de massa, ela prepara uma porção, com a qual produz 50
docinhos maciços de formato esférico, com 2 cm de diâmetro. Um cliente
encomenda 150 desses docinhos, mas pede que cada um tenha formato
esférico com 4 cm de diâmetro.

A cozinheira pretende preparar o número exato de porções da receita-base
de massa necessário para produzir os docinhos dessa encomenda.

 

Quantas porções da receita-base de massa ela deve preparar para atender
esse cliente?",2,3,6,12,24,D,
1,MATEMÁTICA,GEOMETRIA ESPACIAL,6,ENEM 2022 -- MAT,"**

Uma loja comercializa cinco modelos de caixas-d\'água (l, Il, III, IV e
V), todos em formato de cilindro reto de base circular. Os modelos
II,III, IV e V têm as especificações de suas dimensões dadas em relação
às dimensões do modelo I, cuja profundidade é P e área da base é A~b~,
como segue:

    • modelo II: o dobro da profundidade e a metade da área da base do
modelo I;\
    • modelo III: o dobro da profundidade e a metade do raio da base do
modelo I;\
    • modelo IV: a metade da profundidade e o dobro da área da base do
modelo I;\
    • modelo V: a metade da profundidade e o dobro do raio da base do
modelo I.

 

Uma pessoa pretende comprar nessa loja o modelo de caixa-d água que
ofereça a maior capacidade volumétrica

 

O modelo escolhido deve ser o",I.,II\.,III\.,IV\.,V.,A,
1,MATEMÁTICA,GEOMETRIA ESPACIAL,7,ENEM 2022 -- MAT,"**

Peças metálicas de aeronaves abandonadas em aeroportos serão recicladas.
Uma dessas peças é maciça e tem o formato cilíndrico, com a medida do
raio da base igual a 4 cm e a da altura igual a 50 cm. Ela será
derretida, e o volume de metal resultante será utilizado para a
fabricação de esferas maciças com diâmetro de 1 cm, a serem usadas para
confeccionar rolamentos. Para estimar a quantidade de esferas que
poderão ser produzidas a partir de cada uma das peças cilíndricas,
admite-se que não ocorre perda de material durante o processo de
derretimento.

 

Quantas dessas esferas poderão ser obtidas a partir de cada peça
cilíndrica?",800,1 200,2 400,4 800,6 400,C,
1,MATEMÁTICA,GEOMETRIA ESPACIAL,8,ENEM 2022 -- MAT,"**

![](https://raw.githubusercontent.com/AceleraEducacao/revisao-enem-imagens/main/dia01_image3.webp)

Uma empresa produz e vende um tipo de chocolate, maciço, em formato de
cone circular reto com as medidas do diâmetro da base e da altura iguais
a 8 cm e 10 cm, respectivamente, como apresenta a figura.

Devido a um aumento de preço dos ingredientes utilizados na produção
desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate
com um volume 19% menor, no mesmo formato de cone circular reto com
altura de 10 cm.

 

Para isso, a empresa produzirá esses novos chocolates com medida do raio
da base, em centímetro, igual a","1,52.","3,24.","3,60.","6,48.","7,20.",A,dia01_image3.webp
1,FILOSOFIA,FILOSOFIA MODERNA,1,ENEM 2023 -- FIL,"**

Eu poderia concluir que a raiva é um pensamento, que estar com raiva é
pensar que alguém é detestável, e que esse pensamento, como todos os
outros --- assim como Descartes o mostrou ---, não poderia residir em
nenhum fragmento de matéria. A raiva seria, portanto, espírito. Porém,
quando me volto para minha própria experiência da raiva, devo confessar
que ela não estava fora do meu corpo, mas inexplicavelmente nele.

MERLEAU-PONTY, M. Quinta conversa: o homem visto de fora. São Paulo:
Martins Fontes, 1948 (adaptado).

 

No que se refere ao problema do corpo, a filosofia cartesiana
apresenta-se como contraponto ao entendimento expresso no texto por",apresentar uma visão dualista.,confirmar uma tese naturalista.,demonstrar uma premissa realista.,sustentar um argumento idealista.,defender uma posição intencionalista.,B,
1,FILOSOFIA,FILOSOFIA MODERNA,2,ENEM 2023 -- FIL,"**

 Quem se mete pelo caminho do pedido de perdão deve estar pronto a
escutar uma palavra de recusa. Entrar na atmosfera do perdão é aceitar
medir-se com a possibilidade sempre aberta do imperdoável. Perdão
pedido não é perdão a que se tem direito \[devido\]. E com o preço
destas reservas que a grandeza do perdão se manifesta.

RICOEUR, P. O perdão pode curar. Disponível em: www.lusosofia.net.
Acesso em: 14 out. 2019.

 

A reflexão sobre o perdão apresentada no texto encontra fundamento
na(s)",rejeição particular amparada pelo desejo de poder.,decisão subjetiva determinada pela vontade divina.,liberdade mitigada pela predestinação do espírito.,escolhas humanas definidas pelo conhecimento empírico.,relações interpessoais mediadas pela autonomia dos indivíduos.,C,
